Revised Common Lectionary
Scripture Citations for Year C - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2024-25/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"Proper 17 (22)","Aug 31, 2025","Jeremiah 2:4-13 Psalm 81:1, 10-16","Sirach 10:12-18 or Proverbs 25:6-7 Psalm 112","Hebrews 13:1-8, 15-16","Luke 14:1, 7-14",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp17,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_17
"Proper 18 (23)","Sep 07, 2025","Jeremiah 18:1-11 Psalm 139:1-6, 13-18","Deuteronomy 30:15-20 Psalm 1","Philemon 1:1-21","Luke 14:25-33",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp18,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_18
"Holy Cross","Sep 14, 2025","Numbers 21:4b-9 Psalm 98:1-5 or Psalm 78:1-2, 34-38","","1 Corinthians 1:18-24","John 3:13-17",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHoCr,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=holy_cross
"Proper 19 (24)","Sep 14, 2025","Jeremiah 4:11-12, 22-28 Psalm 14","Exodus 32:7-14 Psalm 51:1-10","1 Timothy 1:12-17","Luke 15:1-10",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp19,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_19
"Proper 20 (25)","Sep 21, 2025","Jeremiah 8:18-9:1 Psalm 79:1-9","Amos 8:4-7 Psalm 113","1 Timothy 2:1-7","Luke 16:1-13",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp20,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_20
"Proper 21 (26)","Sep 28, 2025","Jeremiah 32:1-3a, 6-15 Psalm 91:1-6, 14-16","Amos 6:1a, 4-7 Psalm 146","1 Timothy 6:6-19","Luke 16:19-31",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp21,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_21
"Proper 22 (27)","Oct 05, 2025","Lamentations 1:1-6 Lamentations 3:19-26 or Psalm 137","Habakkuk 1:1-4; 2:1-4 Psalm 37:1-9","2 Timothy 1:1-14","Luke 17:5-10",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp22,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_22
"Proper 23 (28)","Oct 12, 2025","Jeremiah 29:1, 4-7 Psalm 66:1-12","2 Kings 5:1-3, 7-15c Psalm 111","2 Timothy 2:8-15","Luke 17:11-19",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp23,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_23
"Canadian Thanksgiving Day","Oct 13, 2025","Deuteronomy 26:1-11 Psalm 100","","Philippians 4:4-9","John 6:25-35",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CTDay,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=canadian_thanksgiving_day
"Proper 24 (29)","Oct 19, 2025","Jeremiah 31:27-34 Psalm 119:97-104","Genesis 32:22-31 Psalm 121","2 Timothy 3:14-4:5","Luke 18:1-8",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CProp24,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=season_after_pentecost&d=proper_24
